building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.31m²
メゾンドシエル,マンション,東京都新宿区北新宿２丁目,3階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ総武線 東中野駅/徒歩14分,築9年,鉄筋コンクリート,1階,12.8万円,－,1ヶ月,1ヶ月,1DK,35.47m²
マイネシュロッス四谷２０４号室,マンション,東京都新宿区左門町,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分都営新宿線 曙橋駅/徒歩8分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,築18年,鉄骨鉄筋コンクリート,2階,11万円,"6,000円",－,－,1K,26.04m²
メゾン・ド・ヴィレ市ヶ谷,マンション,東京都新宿区市谷本村町,8階建て, ＪＲ総武線 市ケ谷駅/徒歩4分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分東京メトロ有楽町線 麹町駅/徒歩17分,築23年,鉄筋コンクリート,2階,8.9万円,"10,000円",－,－,1K,25.85m²
パインコーポ,アパート,東京都新宿区北新宿２丁目,2階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩8分ＪＲ総武線 大久保駅/徒歩12分,築33年,木造,1階,7.8万円,－,1ヶ月,1ヶ月,1DK,22.08m²
ＣＬＡＳＳＥＵＭ飯田橋,マンション,東京都新宿区新小川町,8階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,1階,14.8万円,"10,000円",－,－,2K,30.03m²
ＨＦ西新宿レジデンスＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,12階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分ＪＲ総武線 大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩7分,築16年,鉄筋コンクリート,4階,13.2万円,"12,000円",1ヶ月,－,1DK,32.64m²
ヴィラ若松町,一戸建て,東京都新宿区若松町,2階建て, 都営大江戸線 若松河田駅/徒歩5分都営大江戸線 東新宿駅/徒歩6分都営大江戸線 牛込柳町駅/徒歩13分,築44年,鉄骨造,1階,20万円,－,2ヶ月,1ヶ月,2SLDK,70m²
フレシール中落合,マンション,東京都新宿区中落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩12分,築3年,鉄筋コンクリート,3階,5.8万円,"10,000円",－,－,1R,9.14m²
四ッ谷フラッツ,マンション,東京都新宿区荒木町,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩7分東京メトロ丸ノ内線 四ツ谷駅/徒歩10分,築16年,鉄骨造,3階,9.7万円,"6,000円",1ヶ月,－,1K,24.59m²
トリノマンション,マンション,東京都新宿区富久町,3階建て, 都営新宿線 曙橋駅/徒歩10分東京メトロ副都心線 東新宿駅/徒歩10分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築30年,鉄骨造,2階,9.8万円,"5,000円",－,－,2DK,35.23m²
