building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area,house_area_int,have_living_room,have_kitchen_room,have_dining_room,have_storage_room,have_common_room,have_gift_money,have_deposit,management_fee_int,rent_fee_int,building_age_int,transport1,transport2,transport3,have_convinient_transport,building_floor_int,room_floor_int
メゾンドシエル,マンション,東京都新宿区北新宿２丁目,3階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ総武線 東中野駅/徒歩14分,築9年,鉄筋コンクリート,1階,12.8万円,－,1ヶ月,1ヶ月,1DK,35.47m²,35.47,0,1,1,0,0,1,1,-1.0,128.0,9, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分,京メトロ丸ノ内線 西新宿駅/徒歩10分,Ｒ総武線 東中野駅/徒歩14分,0,3,1
マイネシュロッス四谷２０４号室,マンション,東京都新宿区左門町,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分都営新宿線 曙橋駅/徒歩8分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,築18年,鉄骨鉄筋コンクリート,2階,11万円,"6,000円",－,－,1K,26.04m²,26.04,0,1,0,0,0,0,0,6.0,110.0,18, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分,営新宿線 曙橋駅/徒歩8分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,0,14,2
メゾン・ド・ヴィレ市ヶ谷,マンション,東京都新宿区市谷本村町,8階建て, ＪＲ総武線 市ケ谷駅/徒歩4分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分東京メトロ有楽町線 麹町駅/徒歩17分,築23年,鉄筋コンクリート,2階,8.9万円,"10,000円",－,－,1K,25.85m²,25.85,0,1,0,0,0,0,0,10.0,89.0,23, ＪＲ総武線 市ケ谷駅/徒歩4分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分,京メトロ有楽町線 麹町駅/徒歩17分,0,8,2
パインコーポ,アパート,東京都新宿区北新宿２丁目,2階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩8分ＪＲ総武線 大久保駅/徒歩12分,築33年,木造,1階,7.8万円,－,1ヶ月,1ヶ月,1DK,22.08m²,22.08,0,1,1,0,0,1,1,-1.0,78.0,33, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分,京メトロ丸ノ内線 西新宿駅/徒歩8分,Ｒ総武線 大久保駅/徒歩12分,0,2,1
ＣＬＡＳＳＥＵＭ飯田橋,マンション,東京都新宿区新小川町,8階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,1階,14.8万円,"10,000円",－,－,2K,30.03m²,30.03,0,1,0,0,0,0,0,10.0,148.0,0, ＪＲ総武線 飯田橋駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩8分,京メトロ東西線 神楽坂駅/徒歩11分,1,8,1
ＨＦ西新宿レジデンスＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,12階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分ＪＲ総武線 大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩7分,築16年,鉄筋コンクリート,4階,13.2万円,"12,000円",1ヶ月,－,1DK,32.64m²,32.64,0,1,1,0,0,0,1,12.0,132.0,16, 東京メトロ丸ノ内線 西新宿駅/徒歩5分,Ｒ総武線 大久保駅/徒歩7分,武鉄道新宿線 西武新宿駅/徒歩7分,0,12,4
ヴィラ若松町,一戸建て,東京都新宿区若松町,2階建て, 都営大江戸線 若松河田駅/徒歩5分都営大江戸線 東新宿駅/徒歩6分都営大江戸線 牛込柳町駅/徒歩13分,築44年,鉄骨造,1階,20万円,－,2ヶ月,1ヶ月,2SLDK,70m²,70.0,1,1,1,1,0,1,1,-1.0,200.0,44, 都営大江戸線 若松河田駅/徒歩5分,営大江戸線 東新宿駅/徒歩6分,営大江戸線 牛込柳町駅/徒歩13分,1,2,1
フレシール中落合,マンション,東京都新宿区中落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩12分,築3年,鉄筋コンクリート,3階,5.8万円,"10,000円",－,－,1R,9.14m²,9.14,0,0,0,0,1,0,0,10.0,58.0,3, 都営大江戸線 中井駅/徒歩5分,武鉄道新宿線 下落合駅/徒歩8分,京メトロ東西線 落合駅/徒歩12分,1,3,3
四ッ谷フラッツ,マンション,東京都新宿区荒木町,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩7分東京メトロ丸ノ内線 四ツ谷駅/徒歩10分,築16年,鉄骨造,3階,9.7万円,"6,000円",1ヶ月,－,1K,24.59m²,24.59,0,1,0,0,0,0,1,6.0,97.0,16, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分,営新宿線 曙橋駅/徒歩7分,京メトロ丸ノ内線 四ツ谷駅/徒歩10分,0,6,3
トリノマンション,マンション,東京都新宿区富久町,3階建て, 都営新宿線 曙橋駅/徒歩10分東京メトロ副都心線 東新宿駅/徒歩10分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築30年,鉄骨造,2階,9.8万円,"5,000円",－,－,2DK,35.23m²,35.23,0,1,1,0,0,0,0,5.0,98.0,30, 都営新宿線 曙橋駅/徒歩10分,京メトロ副都心線 東新宿駅/徒歩10分,京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,0,3,2
ビーンズ　ハウス,アパート,東京都新宿区原町２丁目,3階建て, 東京メトロ東西線 早稲田駅/徒歩5分都営大江戸線 牛込柳町駅/徒歩7分都営新宿線 曙橋駅/徒歩17分,築2年,木造,2階,12.1万円,"3,000円",1ヶ月,1ヶ月,1LDK,40.05m²,40.05,1,1,1,0,0,1,1,3.0,121.0,2, 東京メトロ東西線 早稲田駅/徒歩5分,営大江戸線 牛込柳町駅/徒歩7分,営新宿線 曙橋駅/徒歩17分,1,3,2
ハナブサワンハイム,アパート,東京都新宿区高田馬場３丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分,築19年,木造,1階,5.6万円,"3,000円",1ヶ月,－,1R,12.2m²,12.2,0,0,0,0,1,0,1,3.0,56.0,19, ＪＲ山手線 高田馬場駅/徒歩7分,,,1,2,1
サンシャインマンション,マンション,東京都新宿区北新宿２丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩8分東京メトロ丸ノ内線 中野坂上駅/徒歩10分ＪＲ総武線 大久保駅/徒歩10分,築0年,鉄筋コンクリート,1階,45.76万円,－,6ヶ月,1ヶ月,店舗,85.87m²,85.87,0,0,0,0,0,1,1,-1.0,457.59999999999997,0, 東京メトロ丸ノ内線 西新宿駅/徒歩8分,京メトロ丸ノ内線 中野坂上駅/徒歩10分,Ｒ総武線 大久保駅/徒歩10分,0,4,1
Ｂａｌｍｏｒａｌ（バルモラル）,アパート,東京都新宿区上落合３丁目,3階建て, 東京メトロ東西線 落合駅/徒歩3分西武鉄道新宿線 中井駅/徒歩7分都営大江戸線 東中野駅/徒歩13分,築8年,木造,3階,8.5万円,"2,000円",1ヶ月,1ヶ月,1K,35.6m²,35.6,0,1,0,0,0,1,1,2.0,85.0,8, 東京メトロ東西線 落合駅/徒歩3分,武鉄道新宿線 中井駅/徒歩7分,営大江戸線 東中野駅/徒歩13分,1,3,3
コージー新宿,マンション,東京都新宿区新宿６丁目,3階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分ＪＲ山手線 新宿駅/徒歩13分,築38年,鉄筋コンクリート,3階,5.5万円,"5,000円",1ヶ月,1ヶ月,1K,16.15m²,16.15,0,1,0,0,0,1,1,5.0,55.0,38, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分,京メトロ丸ノ内線 新宿三丁目駅/徒歩6分,Ｒ山手線 新宿駅/徒歩13分,1,3,3
エクスクルーシブ中井ＰＡＲＴⅡ,マンション,東京都新宿区中落合４丁目,4階建て, 都営大江戸線 落合南長崎駅/徒歩5分都営大江戸線 中井駅/徒歩9分東京メトロ東西線 落合駅/徒歩15分,築33年,鉄筋コンクリート,1階,5.8万円,"3,000円",1ヶ月,－,1R,22.02m²,22.02,0,0,0,0,1,0,1,3.0,58.0,33, 都営大江戸線 落合南長崎駅/徒歩5分,営大江戸線 中井駅/徒歩9分,京メトロ東西線 落合駅/徒歩15分,1,4,1
クレール西新宿,アパート,東京都新宿区西新宿４丁目,3階建て, 都営大江戸線 西新宿五丁目駅/徒歩8分京王電鉄京王線 初台駅/徒歩11分都営大江戸線 都庁前駅/徒歩16分,築8年,木造,1階,8.1万円,"2,000円",1ヶ月,1ヶ月,1K,25.05m²,25.05,0,1,0,0,0,1,1,2.0,81.0,8, 都営大江戸線 西新宿五丁目駅/徒歩8分,王電鉄京王線 初台駅/徒歩11分,営大江戸線 都庁前駅/徒歩16分,1,3,1
オープンレジデンシア新宿余丁町,マンション,東京都新宿区余丁町,6階建て, 都営大江戸線 若松河田駅/徒歩4分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩11分,築7年,鉄筋コンクリート,1階,17.8万円,"12,000円",1ヶ月,1ヶ月,1LDK,50.57m²,50.57,1,1,1,0,0,1,1,12.0,178.0,7, 都営大江戸線 若松河田駅/徒歩4分,営新宿線 曙橋駅/徒歩11分,営大江戸線 東新宿駅/徒歩11分,1,6,1
ＨＪ　ＰＬＡＣＥ　東新宿,マンション,東京都新宿区余丁町,4階建て, 都営大江戸線 若松河田駅/徒歩5分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩13分,築0年,鉄筋コンクリート,2階,8.4万円,"6,000円",－,－,1R,12m²,12.0,0,0,0,0,1,0,0,6.0,84.0,0, 都営大江戸線 若松河田駅/徒歩5分,営新宿線 曙橋駅/徒歩11分,営大江戸線 東新宿駅/徒歩13分,1,4,2
東京都新宿区西落合１丁目,マンション,東京都新宿区西落合１丁目,5階建て, 都営大江戸線 落合南長崎駅/徒歩7分西武鉄道新宿線 新井薬師前駅/徒歩14分都営大江戸線 中井駅/徒歩13分,築1年,鉄筋コンクリート,2階,9.45万円,"12,000円",－,－,1K,25.51m²,25.51,0,1,0,0,0,0,0,12.0,94.5,1, 都営大江戸線 落合南長崎駅/徒歩7分,武鉄道新宿線 新井薬師前駅/徒歩14分,営大江戸線 中井駅/徒歩13分,1,5,2
